0	-4.8367e-026	
1	1e-005	
2	1.8e-005	
3	2.8e-005	
4	4.1e-005	
5	4.5e-005	
6	6.5e-005	
7	6.6e-005	
8	7.5e-005	
9	8.7e-005	
10	7.3e-005	
11	8.6e-005	
12	0.000116	
13	0.000113	
14	0.00012	
15	0.00012	
16	0.000134	
17	0.000151	
18	0.000159	
19	0.000164	
20	0.000144	
21	0.000158	
22	0.000168	
23	0.000178	
24	0.000198	
25	0.000218	
26	0.000191	
27	0.000208	
28	0.000228	
29	0.000244	
30	0.000258	
31	0.000237	
32	0.000292	
33	0.000253	
34	0.000287	
35	0.000294	
36	0.000316	
37	0.000285	
38	0.000348	
39	0.000317	
40	0.000293	
41	0.000323	
42	0.000337	
43	0.00035	
44	0.000338	
45	0.000349	
46	0.000375	
47	0.000403	
48	0.000391	
49	0.000375	
50	0.000391	
51	0.000391	
52	0.000421	
53	0.000386	
54	0.000462	
55	0.000384	
56	0.000388	
57	0.000402	
58	0.000451	
59	0.000447	
60	0.00045	
61	0.000446	
62	0.000451	
63	0.000536	
64	0.000466	
65	0.000505	
66	0.000509	
67	0.000525	
68	0.000536	
69	0.000576	
70	0.000498	
71	0.000497	
72	0.000567	
73	0.000599	
74	0.000597	
75	0.000582	
76	0.000595	
77	0.000592	
78	0.000576	
79	0.00055	
80	0.000588	
81	0.000583	
82	0.000632	
83	0.000607	
84	0.000612	
85	0.000576	
86	0.00061	
87	0.000679	
88	0.000699	
89	0.000673	
90	0.000706	
91	0.000684	
92	0.000674	
93	0.00072	
94	0.000712	
95	0.00068	
96	0.000742	
97	0.00073	
98	0.000699	
99	0.000726	
100	0.000744	
